Agent Name,Address,District,City,Latitude,longitude
M/S Sacchu Store,Gopinathpur- Baharagora- Jharkhand- India,Gopinathpur,Baharagora,22.23038,86.74474
PARTHO SHILPALY,বাঞ্ছারামপুর- চট্রগ্রাম- বাংলাদেশ,বাঞ্ছারামপুর,বাঞ্ছারামপুর,23.77919,90.80641
Hajari Store,আখাউড়া- চট্রগ্রাম- বাংলাদেশ,আখাউড়া,আখাউড়া,23.83285,91.1805
Bismillah Telecom,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
M/S Fatema Pharmacy,নাসিরনগর- চট্রগ্রাম- বাংলাদেশ,নাসিরনগর,নাসিরনগর,24.17613,91.17424
KAMRUL ISLAM VARIETIES STORE,নাসিরনগর- চট্রগ্রাম- বাংলাদেশ,নাসিরনগর,নাসিরনগর,24.17613,91.17424
Masud Varieties Store,বাঞ্ছারামপুর- চট্রগ্রাম- বাংলাদেশ,বাঞ্ছারামপুর,বাঞ্ছারামপুর,23.77919,90.80641
Sami Store,পাথরঘাটা- বরিশাল- বাংলাদেশ,পাথরঘাটা,পাথরঘাটা,22.08379,89.98648
M/S Dalim Traders,সরাইল- চট্রগ্রাম- বাংলাদেশ,সরাইল,সরাইল,24.08383,91.11894
Nafija General Store,বাঞ্ছারামপুর- চট্রগ্রাম- বাংলাদেশ,বাঞ্ছারামপুর,বাঞ্ছারামপুর,23.77919,90.80641
Titas Telecom,সাহাবাজপুর- নবীনগর- চট্রগ্রাম- বাংলাদেশ,সাহাবাজপুর,নবীনগর,23.82969,90.93359
SAYEM MEDICAL HALL,Muhammadpur- Islampur- Bihar- India,Muhammadpur,Islampur,25.10438,85.21116
Sobaita Varieties Store,কশবা- চট্রগ্রাম- বাংলাদেশ,কশবা,কশবা,23.75752,91.1412
RATUL MEDICINE CENTER,নাসিরনগর- চট্রগ্রাম- বাংলাদেশ,নাসিরনগর,নাসিরনগর,24.17613,91.17424
M/S Noor Alam Khan And Brothers,Brahmanbaria- আশুগঞ্জ- বাংলাদেশ,আশুগঞ্জ,আশুগঞ্জ,23.97318,91.10097
Raja Electric And Telecom,নাসিরনগর- চট্রগ্রাম- বাংলাদেশ,নাসিরনগর,নাসিরনগর,24.17613,91.17424
M/S Safik Varieties Store,আখাউড়া- চট্রগ্রাম- বাংলাদেশ,আখাউড়া,আখাউড়া,23.83285,91.1805
Soraf Store,ব্রাহ্মনবাড়িয়া- চট্রগ্রাম- বাংলাদেশ,ব্রাহ্মনবাড়িয়া,ব্রাহ্মনবাড়িয়া,24.03127,91.00001
