Agent Name,Address,District,City,Latitude,Longitude
Afsana And Aska Enterprise,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
New Refrigeration,Mithakhali- মংলা- বাংলাদেশ,মীতাখালী,মংলা,22.46764,89.66756
M/S Jouty Enterprise,Mongla Road- মংলা- বাংলাদেশ,দিগরাজ,মংলা,22.53288,89.59026
Bhai Bhai Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Sabinoy Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Md Forid Telecom,Banstali- রামপাল- বাংলাদেশ,বনসতলী,রামপাল,22.57911,89.68475
M/S Mohammodia Vandar,Digraj- মংলা- বাংলাদেশ,দিগরাজ,মংলা,22.53288,89.59026
Vai Vai Store,Jatrapur- বাগেরহাট সদর- বাংলাদেশ,যাত্রাপুর,বাগেরহাট সদর,22.72263,89.74719
Maliha Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Farhan Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79148,89.87604
Ma Telecom,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
Monir Store-2,Tafalbari Bazar- Z7719- স্বরণখোলা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.26376,89.8299
Hafizul Store,Mithakhali- মংলা- বাংলাদেশ,মীতাখালী,মংলা,22.46764,89.66756
SONAR BANGLA ELECTRONICS,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Tania Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
TAJ TELECOM,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Shoaib Telecom And Medical Hall,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
M/S NAIM STORE,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Anik Digital,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
SHAHADAT STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Farhan Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79148,89.87604
M/S YESHA STORE,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Alif Telecom,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
M/S Amena Store,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Grameen Sanitation And Mudi Dokan,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Mosadek Tea Stole,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Hasibul Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Moriom Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
Rozina Store,Perikhali- রামপাল- বাংলাদেশ,পেরিখালী,রামপাল,22.5262,89.65318
Samia Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Taposh Store,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
SREE GURU PHARMACY,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Ohid Enterprise,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Megha Dipertmental Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
ONI TELECOM,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Tasmin Telecom,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
M/S KUNDU STORE,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Molla Store,মোল্লাহাট- খুলনা- বাংলাদেশ,মোল্লাহাট,মোল্লাহাট,22.88987,89.77417
Imran Store,Putikhali- মোড়লগঞ্জ- বাংলাদেশ,পুটিখালী,মোড়লগঞ্জ,22.53495,89.86802
Mowlana Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Dona Pharmacy,College Road- বাগেরহাট সদর- বাংলাদেশ,শিয়ালকাঠি,বাগেরহাট সদর,22.70262,89.84244
HASIB MOBILE TELECOM,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Lotif Enterprise,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
Ma Telecom,Nalbunia- স্বরণখোলা- বাংলাদেশ,নালবুনিয়া,স্বরণখোলা,22.35144,89.81963
MA MONI TAILORS,শরনখোলা- স্বরণখোলা- খুলনা- বাংলাদেশ,শরনখোলা,স্বরণখোলা,22.31219,89.85099
M/S Kazi Enterprise,মোড়লগঞ্জ- খুলনা- বাংলাদেশ,মোড়লগঞ্জ,মোড়লগঞ্জ,22.45358,89.85153
Imran Store,Putikhali- মোড়লগঞ্জ- বাংলাদেশ,পুটিখালী,মোড়লগঞ্জ,22.53495,89.86802
Satota Store,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
AMAN TELECOM AND VARIETIES STORE,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
Suprova Polli Phone,ফকিরহাট- খুলনা- বাংলাদেশ,ফকিরহাট,ফকিরহাট,22.77442,89.71553
Sharmin Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Lotif Enterprise,স্বরণখোলা- খুলনা- বাংলাদেশ,স্বরণখোলা,স্বরণখোলা,22.31333,89.84862
AL AMIN STORE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Modern Decorator Lighting Sound And Telecom,রামপাল- খুলনা- বাংলাদেশ,রামপাল,রামপাল,22.58227,89.66661
RIAD TELECOM,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.65836,89.77065
WALIAR STORE,Raenda- স্বরণখোলা- বাংলাদেশ,রায়েন্দা,স্বরণখোলা,22.29992,89.84794
KAZI ENTERPRISE,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
NURJAHAN TELECOM,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
MAA MEDICAL HALL,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Rana Telecom,বাগেরহাট সদর- খুলনা- বাংলাদেশ,বাগেরহাট সদর,বাগেরহাট সদর,22.69637,89.75962
Samrat Store,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
M/S Driste Interprice,মংলা- খুলনা- বাংলাদেশ,মংলা,মংলা,22.47071,89.60319
RESAN MOBILE SERVICING AND FLEXILOAD,Raenda- স্বরণখোলা- বাংলাদেশ,রায়েন্দা,স্বরণখোলা,22.29992,89.84794
MA TELECOM,College Road- বাগেরহাট সদর- বাংলাদেশ,শিয়ালকাঠি,বাগেরহাট সদর,22.70262,89.84244
M/S JAHID MEDICAL HALL AND LIBRARY HOUSE,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Shorna Telecom,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
Banasree Cosmetics,বাগেরহাট- খুলনা- বাংলাদেশ,বাগেরহাট,বাগেরহাট,22.6579,89.77002
